romaji             , kana                  , kanji                 , chinese               , english            , example                                         , cn_meaning                                  , jp_meaning                                , scene
kamo               , かも                  , 鴨                    , 鸭子                  , duck               , カモが池にいます。                              , 一种生活在水边的鸟类                        , 水辺に住む鳥                              , こうえん
hikizuna           , ひきづな              , 引き綱                , 牵绳                  , leash              , 引き綱で犬を散歩させます。                      , 牵动物用的绳子                              , 動物をつなぐための紐                      , こうえん
hakucho            , はくちょう            , 白鳥                  , 天鹅                  , swan               , 白鳥が池を泳いでいます。                        , 一种白色的大型水鸟                          , 白くて優雅な鳥                            , こうえん
kadan              , かだん                , 花壇                  , 花坛                  , flower bed         , 花壇に花が咲いています。                        , 种植花草的区域                              , 花を植えるための区画                      , こうえん
shigemi            , しげみ                , 茂み                  , 灌木丛                , bush               , 茂みに動物が隠れています。                      , 植物茂盛的区域                              , 草や木がたくさんあるところ                , こうえん
rora-suketo        , ローラースケート      , ローラースケート      , 轮滑鞋                , roller skate       , ローラースケートで滑ります。                    , 装在鞋上的轮子用以滑行                      , 靴に車輪がついた遊具                      , こうえん
ike                , いけ                  , 池                    , 池塘                  , pond               , 池に魚がいます。                                , 小型静水水体                                , 水がたまった場所                          , こうえん
otamajakushi       , おたまじゃくし        , おたまじゃくし        , 蝌蚪                  , tadpole            , おたまじゃくしが泳いでいます。                  , 青蛙的幼体                                  , カエルの赤ちゃん                          , こうえん
suberidai          , すべりだい            , 滑り台                , 滑梯                  , slide              , すべり台で遊びます。                            , 供儿童滑下的玩具设施                        , 滑って降りる遊具                          , こうえん
kaeru              , かえる                , 蛙                    , 青蛙                  , frog               , カエルが鳴いています。                          , 跳跃生活在水边的动物                        , 水辺に住む跳ねる動物                      , こうえん
ko-michi           , こみち                , 小道                  , 小路                  , path               , 小道を歩きます。                                , 公园里的小路                                , 狭くて短い道                              , こうえん
mon                , もん                  , 門                    , 门                    , gate               , 門を通って入ります。                            , 供出入的建筑物口部                          , 出入りするための場所                      , こうえん
inu                , いぬ                  , 犬                    , 狗                    , dog                , 犬と一緒に散歩します。                          , 人类常见的宠物之一                          , 人に飼われている動物                      , こうえん
aisukuriimu        , アイスクリーム        , アイスクリーム        , 冰淇淋                , ice cream          , アイスクリームを食べます。                      , 一种冷冻甜品                                , 冷たい甘い食べ物                          , こうえん
tako               , たこ                  , 凧                    , 风筝                  , kite               , たこを空にあげます。                            , 用线牵着飞在空中的玩具                      , 風に乗って空を飛ぶおもちゃ                , こうえん
pikunikku          , ピクニック            , ピクニック            , 野餐                  , picnic             , 公園でピクニックをします。                      , 在户外吃饭休息的活动                        , 外で食事を楽しむこと                      , こうえん
sunaba             , すなば                , 砂場                  , 沙坑                  , sandbox            , 砂場で遊びます。                                , 可用沙子堆砌玩具的区域                      , 砂で遊ぶ場所                              , こうえん
buranko            , ブランコ              , ブランコ              , 秋千                  , swings             , ブランコに乗ります。                            , 一种用绳子悬挂可坐着荡的玩具                , 揺れて遊ぶ遊具                            , こうえん
tsubasa            , つばさ                , 翼                    , 翅膀                  , wing               , 鳥の翼が広がっています。                        , 鸟类或昆虫用于飞行的器官                    , 飛ぶための器官                            , どうぶつえん
kaba               , カバ                  , カバ                  , 河马                  , hippopotamus       , カバが水に入っています。                        , 大型水生哺乳动物                            , 大型の水生哺乳類                          , どうぶつえん
panda              , パンダ                , パンダ                , 熊猫                  , panda              , パンダが竹を食べています。                      , 以竹子为食的黑白色熊科动物                  , 竹を食べる白黒のクマ                      , どうぶつえん
washi              , ワシ                  , 鷲                    , 鹰                    , eagle              , ワシが空を飛んでいます。                        , 大型猛禽类鸟                                , 大型の猛禽類                              , どうぶつえん
kangaru            , カンガルー            , カンガルー            , 袋鼠                  , kangaroo           , カンガルーが跳ねています。                      , 澳大利亚特有的有袋动物                      , オーストラリア原産の有袋類                , どうぶつえん
komori             , コウモリ              , 蝙蝠                  , 蝙蝠                  , bat                , コウモリが洞窟にいます。                        , 唯一能飞行的哺乳动物                        , 唯一飛べる哺乳類                          , どうぶつえん
saru               , サル                  , 猿                    , 猴子                  , monkey             , サルが木に登っています。                        , 灵长类动物的一种                            , 木に登る霊長類                            , どうぶつえん
shippo             , しっぽ                , 尻尾                  , 尾巴                  , tail               , 動物のしっぽが揺れています。                    , 动物身体后部的延伸部分                      , 動物の体の後ろの部分                      , どうぶつえん
okami              , オオカミ              , 狼                    , 狼                    , wolf               , オオカミが遠吠えしています。                    , 群居的野生犬科动物                          , 群れで生活する野生のイヌ科動物            , どうぶつえん
hyozan             , ひょうざん            , 氷山                  , 冰山                  , iceberg            , 氷山が海に浮かんでいます。                      , 漂浮在海上的巨大冰块                        , 海に浮かぶ大きな氷の塊                    , どうぶつえん
pengin             , ペンギン              , ペンギン              , 企鹅                  , penguin            , ペンギンが泳いでいます。                        , 不会飞但善于游泳的鸟类                      , 泳ぐのが得意な鳥                          , どうぶつえん
kuma               , クマ                  , 熊                    , 熊                    , bear               , クマが木の実を食べています。                    , 大型哺乳动物                                , 大型の哺乳類                              , どうぶつえん
perikan            , ペリカン              , ペリカン              , 鹈鹕                  , pelican            , ペリカンが魚を捕まえています。                  , 有大喉囊的水鸟                              , 大きな喉袋を持つ水鳥                      , どうぶつえん
dacho              , ダチョウ              , ダチョウ              , 鸵鸟                  , ostrich            , ダチョウが走っています。                        , 世界上最大的鸟类                            , 世界最大の鳥                              , どうぶつえん
iruka              , イルカ                , 海豚                  , 海豚                  , dolphin            , イルカがジャンプしています。                    , 聪明的海洋哺乳动物                          , 賢い海の哺乳類                            , どうぶつえん
kirin              , キリン                , キリン                , 长颈鹿                , giraffe            , キリンが葉を食べています。                      , 脖子很长的非洲哺乳动物                      , 首の長いアフリカの哺乳類                  , どうぶつえん
raion-no-ko        , ライオンの子          , ライオンの子          , 小狮子                , lion cub           , ライオンの子が遊んでいます。                    , 狮子的幼崽                                  , ライオンの赤ちゃん                        , どうぶつえん
raion              , ライオン              , ライオン              , 狮子                  , lion               , ライオンが吠えています。                        , 非洲草原上的大型猫科动物                    , アフリカの草原に生息する大型ネコ科動物    , どうぶつえん
gorira             , ゴリラ                , ゴリラ                , 大猩猩                , gorilla            , ゴリラが木の実を食べています。                  , 大型灵长类动物                              , 大型の霊長類                              , どうぶつえん
tsuno              , つの                  , 角                    , 角                    , horn               , 動物のつのが見えます。                          , 动物头部的突出物                            , 動物の頭にある突起物                      , どうぶつえん
shika              , しか                  , 鹿                    , 鹿                    , deer               , しかが森の中を歩いています。                    , 生活在森林中的温顺动物                      , 森に住むおとなしい動物                    , どうぶつえん
rakuda             , ラクダ                , ラクダ                , 骆驼                  , camel              , ラクダが砂の上を歩いています。                  , 生活在沙漠的动物                            , 砂漠に住む動物                            , どうぶつえん
azarashi           , アザラシ              , 海豹                  , 海豹                  , seal               , アザラシが泳いでいます。                        , 水中生活的哺乳动物                          , 水中に住む哺乳類                          , どうぶつえん
kame               , カメ                  , 亀                    , 乌龟                  , turtle             , カメがゆっくり歩いています。                    , 带壳的爬行动物                              , 甲羅を持つ爬虫類                          , どうぶつえん
zonohana           , ぞうのはな            , 象の鼻                , 象鼻                  , elephant trunk     , 象の鼻が長いです。                              , 大象用于触摸和吸水的器官                    , 象の嗅覚や水を吸うための器官              , どうぶつえん
zo                 , ゾウ                  , 象                    , 大象                  , elephant           , ゾウが草を食べています。                        , 体型庞大的草食动物                          , 体の大きな草食動物                        , どうぶつえん
shiro-kuma         , しろくま              , 白熊                  , 北极熊                , polar bear         , しろくまが雪の上にいます。                      , 生活在寒冷地区的白色熊类                    , 寒い地域に住む白いクマ                    , どうぶつえん
sai                , サイ                  , 犀                    , 犀牛                  , rhinoceros         , サイが角を振っています。                        , 有角的厚皮动物                              , 角のある大型哺乳類                        , どうぶつえん
biiba              , ビーバー              , 海狸                  , 海狸                  , beaver             , ビーバーが木をかじっています。                  , 会筑坝的啮齿动物                            , ダムを作る齧歯類                          , どうぶつえん
bafffaro           , バッファロー          , 水牛                  , 水牛                  , buffalo            , バッファローが群れで歩いています。              , 体型壮硕的草食动物                          , 大きな草食動物                            , どうぶつえん
shima-uma          , しまうま              , 縞馬                  , 斑马                  , zebra              , しまうまが草を食べています。                    , 身体有黑白条纹的马类动物                    , 黒と白のしま模様の馬                      , どうぶつえん
hebi               , ヘビ                  , 蛇                    , 蛇                    , snake              , ヘビが地面を這っています。                      , 没有脚的爬行动物                            , 足のない爬虫類                            , どうぶつえん
same               , サメ                  , 鮫                    , 鲨鱼                  , shark              , サメが水槽を泳いでいます。                      , 海洋中的肉食性鱼类                          , 海の肉食性魚                              , どうぶつえん
yagi               , ヤギ                  , 山羊                  , 山羊                  , goat               , ヤギが草を食べています。                        , 能在山地生活的哺乳动物                      , 山地に住む哺乳類                          , どうぶつえん
kujira             , クジラ                , 鯨                    , 鲸鱼                  , whale              , クジラが大きな音を立てています。                , 体型庞大的海洋哺乳动物                      , 海に住む最大の哺乳類                      , どうぶつえん
tora               , トラ                  , 虎                    , 老虎                  , tiger              , トラが寝ています。                              , 大型猫科动物                                , 大型のネコ科動物                          , どうぶつえん
hyo                , ヒョウ                , 豹                    , 豹子                  , leopard            , ヒョウが木の上にいます。                        , 善于爬树的猫科动物                          , 木に登るネコ科動物                        , どうぶつえん
senro              , せんろ                , 線路                  , 铁轨                  , railway track      , 列車が線路を走っています。                      , 火车行驶的轨道                              , 列車が走るための道                        , りょこう
kikan-sha          , きかんしゃ            , 機関車                , 机车                  , locomotive         , 機関車が客車を引いています。                    , 用于牵引列车的动力车両                      , 列車を牽引するための車両                  , りょこう
kuruma-dome        , くるまどめ            , 車止め                , 车挡                  , car stopper        , 駐車場に車止めがあります。                      , 防止车辆移动的装置                          , 車の移動を防ぐ装置                        , りょこう
sharyo             , しゃりょう            , 車両                  , 车厢                  , railcar            , 新しい車両が導入されました。                    , 列车的一个部分                              , 列車の一部                                , りょこう
untenshu           , うんてんしゅ          , 運転手                , 司机                  , driver             , 運転手が安全運転しています。                    , 驾驶车辆的人                                , 車を運転する人                            , りょこう
kasha              , かしゃ                , 貨車                  , 货车                  , freight car        , 貨車が荷物を運んでいます。                      , 用于运输货物的车辆                          , 荷物を運ぶための車両                      , りょこう
puratto-homu       , プラットホーム        , プラットホーム        , 站台                  , platform           , 乗客がプラットホームに並んでいます。            , 供乘客上下车的区域                          , 乗客が乗り降りする場所                    , りょこう
shasho             , しゃしょう            , 車掌                  , 列车员                , conductor          , 車掌が切符を確認しています。                    , 负责列车事务的工作人员                      , 列車の業務を担当する人                    , りょこう
sutsukesu          , スーツケース          , スーツケース          , 行李箱                , suitcase           , スーツケースを持って旅行します。                , 用于携带物品的箱子                          , 荷物を入れる箱                            , りょこう
kippu-hanbaiki     , きっぷはんばいき      , 切符販売機            , 售票机                , ticket machine     , 切符販売機で切符を買います。                    , 自动售票的机器                              , 自動で切符を販売する機械                  , りょこう
shingo             , しんごう              , 信号                  , 信号灯                , traffic light      , 信号が青に変わりました。                        , 指示交通的灯光装置                          , 交通を指示する灯                          , りょこう
ryukkusakku        , リュックサック        , リュックサック        , 背包                  , backpack           , リュックサックを背負って登山します。            , 背在背上的包                                , 背中に背負う袋                            , りょこう
heddo-raito        , ヘッドライト          , ヘッドライト          , 车头灯                , headlight          , ヘッドライトを点けて夜道を走ります。            , 照亮前方的灯光                              , 前方を照らす灯                            , りょこう
enjin              , エンジン              , エンジン              , 引擎                  , engine             , エンジンが正常に動作しています。                , 提供动力的装置                              , 動力を供給する装置                        , りょこう
sharin             , しゃりん              , 車輪                  , 车轮                  , wheel              , 車輪がスムーズに回転しています。                , 车辆的圆形部分                              , 車の円形部分                              , りょこう
batterii           , バッテリー            , バッテリー            , 电池                  , battery            , バッテリーを充電します。                        , 储存电能的装置                              , 電気を蓄える装置                          , りょこう
gasorin-sha        , ガソリンしゃ          , ガソリン車            , 汽油车                , gasoline car       , ガソリン車は燃料が必要です。                    , 使用汽油的车辆                              , ガソリンを使う車                          , りょこう
supana             , スパナ                , スパナ                , 扳手                  , spanner            , スパナでボルトを締めます。                      , 用于拧紧螺丝的工具                          , ボルトを締める工具                        , りょこう
taiya              , タイヤ                , タイヤ                , 轮胎                  , tire               , タイヤの空気圧をチェックします。                , 车辆的橡胶部分                              , 車のゴム部分                              , りょこう
bon-neto           , ボンネット            , ボンネット            , 引擎盖                , bonnet             , ボンネットを開けてエンジンを点検します。        , 覆盖引擎的盖子                              , エンジンを覆う蓋                          , りょこう
oiru               , オイル                , オイル                , 机油                  , oil                , エンジンオイルを交換します。                    , 润滑引擎的液体                              , エンジンを潤滑する液体                    , りょこう
gasorin-ire        , ガソリンいれ          , ガソリン入れ          , 加油                  , refueling          , ガソリンを入れます。                            , 向车辆添加燃料                              , 車に燃料を補給する                        , りょこう
rekka-sha          , レッカーしゃ          , レッカー車            , 拖车                  , tow truck          , レッカー車が故障車を運びます。                  , 用于拖运故障车辆的车                        , 故障車を運ぶ車                            , りょこう
gasorin            , ガソリン              , ガソリン              , 汽油                  , gasoline           , ガソリンを満タンにします。                      , 车辆使用的燃料                              , 車の燃料                                  , りょこう
toranku            , トランク              , トランク              , 后备箱                , trunk              , トランクに荷物を入れます。                      , 车辆后部的储物空间                          , 車の後部の収納スペース                    , りょこう
sensha             , せんしゃ              , 洗車                  , 洗车                  , wash car           , 車を洗車します。                                , 清洗车辆的过程                              , 車を洗うこと                              , りょこう
pairotto           , パイロット            , パイロット            , 飞行员                , pilot              , パイロットが飛行機を操縦します。                , 驾驶飞机的人                                , 飛行機を操縦する人                        , りょこう
suchuwado          , スチュワード          , スチュワード          , 男乘务员              , steward            , スチュワードが飲み物を配ります。                , 男性的空中服务人员                          , 男性の客室乗務員                          , りょこう
kanseito           , かんせいとう          , 管制塔                , 控制塔                , control tower      , 管制塔から指示が出ます。                        , 指挥飞行的塔楼                              , 飛行を指示する塔                          , りょこう
kassoro            , かっそうろ            , 滑走路                , 跑道                  , runway             , 飛行機が滑走路を離陸します。                    , 飞机起飞和降落的道路                        , 飛行機が離着陸する道                      , りょこう
suchuwadesu        , スチュワーデス        , スチュワーデス        , 空姐                  , stewardess         , スチュワーデスが安全説明をします。              , 女性的空中服务人员                          , 女性の客室乗務員                          , りょこう
hikoki             , ひこうき              , 飛行機                , 飞机                  , airplane           , 飛行機が空を飛んでいます。                      , 在空中飞行的交通工具                        , 空を飛ぶ乗り物                            , りょこう
herikoputa         , ヘリコプター          , ヘリコプター          , 直升机                , helicopter         , ヘリコプターが上空を飛んでいます。              , 垂直起降的飞行器                            , 垂直に離着陸する飛行機                    , りょこう
fusha-goya         , ふしゃごや            , 風車小屋              , 风车小屋              , windmill           , 風車小屋が田んぼの中に建っています。            , 利用风力磨粉的建筑                          , 風力で粉を挽く建物                        , いなか
netsu-kikyu        , ねつききゅう          , 熱気球                , 热气球                , hot air balloon    , 熱気球が空に浮かんでいます。                    , 利用热空气升空的飞行器                      , 熱い空気で浮かぶ気球                      , いなか
cho-cho            , ちょうちょう          , 蝶々                  , 蝴蝶                  , butterfly          , 蝶々が花の周りを飛んでいます。                  , 翩翩起舞的昆虫                              , 花の周りを飛ぶ昆虫                        , いなか
tokage             , とかげ                , 蜥蜴                  , 蜥蜴                  , lizard             , とかげが岩の上で日向ぼっこしています。          , 体型细长的爬行动物                          , 細長い体の爬虫類                          , いなか
ishi               , いし                  , 石                    , 石头                  , stone              , 道端に大きな石があります。                      , 坚硬的矿物块                                , 硬い鉱物の塊                              , いなか
kitsune            , きつね                , 狐                    , 狐狸                  , fox                , きつねが森の中を走っています。                  , 狡猾的野生动物                              , 賢い野生動物                              , いなか
ogawa              , おがわ                , 小川                  , 小川                  , brook              , 小川のせせらぎが聞こえます。                    , 细小的河流                                  , 小さな川                                  , いなか
michi-shirube      , みちしるべ            , 道標                  , 路标                  , signpost           , 道しるべが交差点に立っています。                , 指示方向的标志                              , 方向を示す標識                            , いなか
hari-nezumi        , はりねずみ            , 針鼠                  , 刺猬                  , hedgehog           , はりねずみが丸くなっています。                  , 身上有刺的小动物                            , 背中に針を持つ小動物                      , いなか
sui-mon            , すいもん              , 水門                  , 水门                  , sluice gate        , 水門を開けて水を流します。                      , 控制水流的装置                              , 水の流れを調整する装置                    , いなか
risu               , りす                  , 栗鼠                  , 松鼠                  , squirrel           , りすが木の実を集めています。                    , 尾巴蓬松的小动物                            , ふさふさした尾を持つ小動物                , いなか
mori               , もり                  , 森                    , 森林                  , forest             , 森の中で鳥がさえずっています。                  , 树木繁茂的区域                              , 木が生い茂る地域                          , いなか
anaguma            , あなぐま              , 穴熊                  , 獾                    , badger             , あなぐまが穴を掘っています。                    , 善于挖洞的哺乳动物                          , 穴を掘る哺乳動物                          , いなか
kawa               , かわ                  , 川                    , 河流                  , river              , 川の水が澄んでいます。                          , 流动的水体                                  , 流れる水の道                              , いなか
michi              , みち                  , 道                    , 道路                  , road               , 道が山へと続いています。                        , 供人通行的通道                              , 人が通るための通路                        , いなか
iwa                , いわ                  , 岩                    , 岩石                  , rock               , 岩の上に苔が生えています。                      , 大型的石头                                  , 大きな石                                  , いなか
hikigaeru          , ひきがえる            , 蟇蛙                  , 蟾蜍                  , toad               , ひきがえるが鳴いています。                      , 皮肤粗糙的两栖动物                          , ざらざらした皮膚の両生類                  , いなか
densha             , でんしゃ              , 電車                  , 电车                  , train              , 電車が田舎の駅に到着します。                    , 轨道上的交通工具                            , 線路を走る乗り物                          , いなか
kyanpingu-ka       , キャンピングカー      , キャンピングカー      , 房车                  , camper             , キャンピングカーで旅をしています。              , 可供居住的车辆                              , 住むことができる車                        , いなか
oka                , おか                  , 丘                    , 丘陵                  , hill               , 丘の上に風車があります。                        , 地势高起的地形                              , 小高い土地                                , いなか
tsuri-bito         , つりびと              , 釣人                  , 钓鱼人                , angler             , 釣り人が川辺で釣りをしています。                , 以钓鱼为乐的人                              , 釣りを楽しむ人                            , いなか
mogura             , もぐら                , 土竜                  , 鼹鼠                  , mole               , もぐらが地面に穴を掘っています。                , 生活在地下的小动物                          , 地下に住む小動物                          , いなか
kogitsune          , こぎつね              , 小狐                  , 小狐狸                , kit                , 小狐が親の後を追っています。                    , 幼小的狐狸                                  , 小さな狐                                  , いなか
ton-neru           , トンネル              , 隧道                  , 隧道                  , tunnel             , トンネルを抜けると景色が変わります。            , 穿山而过的通道                              , 山を貫く通路                              , いなか
fukuro             , ふくろう              , 梟                    , 猫头鹰                , owl                , ふくろうが木の上で休んでいます。                , 夜间活动的猛禽                              , 夜に活動する猛禽                          , いなか
taki               , たき                  , 滝                    , 瀑布                  , waterfall          , 滝の音が響いています。                          , 从高处落下的水流                            , 高い所から落ちる水                        , いなか
fune               , ふね                  , 船                    , 船                    , boat               , 船が川を下っています。                          , 水上交通工具                                , 水上を移動する乗り物                      , いなか
hashi              , はし                  , 橋                    , 桥                    , bridge             , 橋を渡って村に行きます。                        , 连接两地的结构                              , 二つの場所をつなぐ構造物                  , いなか
ga                 , が                    , 蛾                    , 蛾                    , moth               , 蛾が灯りに集まっています。                      , 夜间活动的昆虫                              , 夜に活動する昆虫                          , いなか
mura               , むら                  , 村                    , 村庄                  , village            , 村には古い家が並んでいます。                    , 人口较少的居住地                            , 人口の少ない集落                          , いなか
maruta             , まるた                , 丸太                  , 原木                  , log                , 丸太を使って小屋を建てます。                    , 未加工的木材                                , 加工されていない木材                      , いなか
unga               , うんが                , 運河                  , 运河                  , canal              , 運河を船が通っています。                        , 人工开凿的水道                              , 人工の水路                                , いなか
tento              , テント                , テント                , 帐篷                  , tent               , テントを張ってキャンプします。                  , 临时搭建的遮蔽处                            , 一時的な住まい                            , いなか
yama               , やま                  , 山                    , 山                    , mountain           , 山に登って景色を楽しみます。                    , 地势高耸的自然地形                          , 高くそびえる自然の地形                    , いなか
hoshikusa no yana  , ほしくさのやな        , 干草棚                , 干草棚                , hayrack            , 干草棚に干草を積み上げます。                    , 用于存放干草的棚子                          , 干し草を保管する棚                        , のうじょう
bokuyo-ken         , ぼくようけん          , 牧羊犬                , 牧羊犬                , sheepdog           , 牧羊犬が羊の群れを誘導します。                  , 用于放牧的犬种                              , 羊を誘導する犬                            , のうじょう
ahiru              , あひる                , 家鴨                  , 鸭子                  , duck               , あひるが池で泳いでいます。                      , 一种水禽                                    , 水辺に住む鳥                              , のうじょう
ko-hitsuji         , こひつじ              , 子羊                  , 小羊                  , lamb               , 小羊が母羊の後をついていきます。                , 幼小的羊                                    , 羊の子供                                  , のうじょう
ike                , いけ                  , 池                    , 池塘                  , pond               , 池に鴨が泳いでいます。                          , 小型的水体                                  , 小さな水たまり                            , のうじょう
hiyoko             , ひよこ                , 雛                    , 小鸡                  , chick              , ひよこが餌をついばみます。                      , 幼小的鸡                                    , 鶏の子供                                  , のうじょう
yane-ura           , やねうら              , 屋根裏                , 阁楼                  , attic              , 屋根裏に干し草を保管します。                    , 屋顶下的空间                                , 屋根の下の空間                            , のうじょう
buta-goya          , ぶたごや              , 豚小屋                , 猪圈                  , pigsty             , 豚小屋で豚が寝ています。                        , 养猪的建筑                                  , 豚を飼う小屋                              , のうじょう
o-ushi             , おうし                , 雄牛                  , 公牛                  , bull               , 雄牛が牧場を歩いています。                      , 成年雄性牛                                  , 雄の牛                                    , のうじょう
ahiru no ko        , あひるのこ            , 家鴨の子              , 小鸭                  , duckling           , あひるの子が母親の後をついていきます。          , 幼小的鸭子                                  , あひるの子供                              , のうじょう
niwatori-goya      , にわとりごや          , 鶏小屋                , 鸡舍                  , chicken coop       , 鶏小屋で鶏が卵を産んでいます。                  , 养鸡的建筑                                  , 鶏を飼う小屋                              , のうじょう
torakuta           , トラクター            , トラクター            , 拖拉机                , tractor            , トラクターで畑を耕します。                      , 用于耕作的机械                              , 畑を耕す機械                              , のうじょう
gacho              , がちょう              , 鵞鳥                  , 鹅                    , goose              , がちょうが畑を歩いています。                    , 一种家禽                                    , 大型の水鳥                                , のうじょう
tanku-rorii        , タンクローリー        , タンクローリー        , 油罐车                , tanker truck       , タンクローリーで牛乳を運びます。                , 运输液体的车辆                              , 液体を運ぶ車両                            , のうじょう
naya               , なや                  , 納屋                  , 谷仓                  , barn               , 納屋に収穫した作物を保管します。                , 存放农作物的建筑                            , 収穫物を保管する建物                      , のうじょう
nukarumi           , ぬかるみ              , 泥濘                  , 泥泞                  , mud                , ぬかるみに足を取られます。                      , 湿软的泥地                                  , 泥でぬかるんだ場所                        , のうじょう
te-oshi-guruma     , ておしぐるま          , 手押し車              , 手推车                , handcart           , 手押し車で干し草を運びます。                    , 人力推动的运输工具                          , 人力で押す車                              , のうじょう
hoshi-kusa         , ほしくさ              , 干草                  , 干草                  , hay                , 干し草を牛に与えます。                          , 晒干的草                                    , 乾燥させた草                              , のうじょう
hitsuji            , ひつじ                , 羊                    , 羊                    , sheep              , 羊が牧場で草を食べています。                    , 常见的家畜                                  , 家畜の一種                                , のうじょう
wara-taba          , わらたば              , 藁束                  , 稻草捆                , straw bale         , 藁束を納屋に積み上げます。                      , 捆绑的稻草                                  , 束ねた藁                                  , のうじょう
uma                , うま                  , 馬                    , 马                    , horse              , 馬が畑を耕しています。                          , 用于农作的动物                              , 農作業に使う動物                          , のうじょう
buta               , ぶた                  , 豚                    , 猪                    , pig                , 豚が泥の中で遊んでいます。                      , 常见的家畜                                  , 家畜の一種                                , のうじょう
noka               , のうか                , 農家                  , 农户                  , farmer             , 農家が畑で作業しています。                      , 从事农业的人家                              , 農業を営む家庭                            , のうじょう
kakashi            , かかし                , 案山子                , 稻草人                , scarecrow          , かかしが畑に立っています。                      , 驱赶鸟类的假人                              , 鳥を追い払う人形                          , のうじょう
shichimencho       , しちめんちょう        , 七面鳥                , 火鸡                  , turkey             , 七面鳥が庭を歩いています。                      , 一种大型家禽                                , 大型の家禽                                , のうじょう
